gender,age,experience,workTime,role
male,30,novice,morning,companionship
female,45,intermediate,afternoon,personalCare
male,50+,experienced,evening,housekeeping
female,20-40,experienced,morning,personalCare
male,40-50,intermediate,afternoon,companionship
female,50+,novice,evening,housekeeping
male,20-40,intermediate,morning,companionship
female,40-50,experienced,afternoon,personalCare
male,50+,novice,evening,companionship
female,30,experienced,morning,personalCare
male,45,intermediate,afternoon,companionship
female,50+,novice,evening,companionship
male,20-40,experienced,morning,personalCare
female,40-50,novice,afternoon,companionship
male,50+,intermediate,evening,housekeeping
female,30,experienced,morning,personalCare
male,45,intermediate,afternoon,companionship
female,50+,novice,evening,companionship
male,20-40,experienced,morning,personalCare
female,40-50,novice,afternoon,companionship
male,50+,intermediate,evening,housekeeping
female,30,experienced,morning,personalCare
male,45,intermediate,afternoon,companionship
female,50+,novice,evening,companionship
male,20-40,experienced,morning,personalCare
female,40-50,novice,afternoon,companionship
male,50+,intermediate,evening,housekeeping
female,30,experienced,morning,personalCare
male,45,intermediate,afternoon,companionship
female,50+,novice,evening,companionship
male,20-40,experienced,morning,personalCare
female,40-50,novice,afternoon,companionship
male,50+,intermediate,evening,housekeeping
female,30,experienced,morning,personalCare
male,45,intermediate,afternoon,companionship
female,50+,novice,evening,companionship
male,20-40,experienced,morning,personalCare
female,40-50,novice,afternoon,companionship
male,50+,intermediate,evening,housekeeping
female,30,experienced,morning,personalCare
male,45,intermediate,afternoon,companionship
female,50+,novice,evening,companionship
male,20-40,experienced,morning,personalCare
female,40-50,novice,afternoon,companionship
male,50+,intermediate,evening,housekeeping
female,30,experienced,morning,personalCare
male,45,intermediate,afternoon,companionship
female,50+,novice,evening,companionship
male,20-40,experienced,morning,personalCare
female,40-50,novice,afternoon,companionship
male,50+,intermediate,evening,housekeeping
female,30,experienced,morning,personalCare
male,45,intermediate,afternoon,companionship
female,50+,novice,evening,companionship
male,20-40,experienced,morning,personalCare
female,40-50,novice,afternoon,companionship
male,50+,intermediate,evening,housekeeping
female,30,experienced,morning,personalCare
male,45,intermediate,afternoon,companionship
female,50+,novice,evening,companionship
male,20-40,experienced,morning,personalCare
female,40-50,novice,afternoon,companionship
male,50+,intermediate,evening,housekeeping
female,30,experienced,morning,personalCare
male,45,intermediate,afternoon,companionship
female,50+,novice,evening,companionship
male,20-40,experienced,morning,personalCare
female,40-50,novice,afternoon,companionship
male,50+,intermediate,evening,housekeeping
